growth_rank,Utility Standardized,total_ev_count,bev_count,bev_share,phev_count,phev_share,recent_model_year_count,recent_model_year_share,average_electric_range,median_electric_range,average_positive_electric_range,median_positive_electric_range,min_model_year,median_model_year,max_model_year,county_count,city_count,growth_rank_score
25,CITY OF BLAINE - (WA) | PUD NO 1 OF WHATCOM COUNTY,302,251,0.8311258278145696,51,0.16887417218543047,199,0.6589403973509934,47.81456953642384,0.0,127.78761061946902,84.0,2011,2023.0,2026,1,1,0.6589403973509934
26,BONNEVILLE POWER ADMINISTRATION | PUD NO 1 OF KLICKITAT COUNTY,485,357,0.7360824742268042,128,0.2639175257731959,317,0.6536082474226804,45.95463917525773,0.0,105.13207547169812,42.0,2011,2023.0,2026,1,23,0.6536082474226804
27,BONNEVILLE POWER ADMINISTRATION | PUD NO 1 OF COWLITZ COUNTY,1467,1112,0.7580095432856169,355,0.2419904567143831,958,0.6530334014996592,43.104976141785954,0.0,106.0989932885906,42.0,2011,2023.0,2026,1,12,0.6530334014996592
28,BONNEVILLE POWER ADMINISTRATION | CITY OF TACOMA - (WA) | LAKEVIEW LIGHT & POWER | PENINSULA LIGHT COMPANY,321,237,0.7383177570093458,84,0.2616822429906542,209,0.6510903426791277,35.95015576323988,0.0,85.48148148148148,34.0,2011,2023.0,2026,1,3,0.6510903426791277
29,BONNEVILLE POWER ADMINISTRATION | CITY OF MILTON - (WA) | CITY OF TACOMA - (WA),163,131,0.803680981595092,32,0.19631901840490798,106,0.6503067484662577,41.38036809815951,0.0,105.390625,57.5,2012,2023.0,2026,2,4,0.6503067484662577
30,BONNEVILLE POWER ADMINISTRATION | CITY OF TACOMA - (WA) | PUD NO 3 OF MASON COUNTY,1211,915,0.7555739058629232,296,0.2444260941370768,786,0.6490503715937241,47.04459124690339,0.0,109.77071290944123,42.0,2011,2023.0,2026,1,12,0.6490503715937241
31,BONNEVILLE POWER ADMINISTRATION | CITY OF ELLENSBURG - (WA),230,181,0.7869565217391304,49,0.21304347826086956,149,0.6478260869565218,41.84347826086957,0.0,111.90697674418605,53.0,2012,2023.0,2026,1,1,0.6478260869565218
32,"OKANOGAN COUNTY ELEC COOP, INC",235,176,0.7489361702127659,59,0.251063829787234,152,0.6468085106382979,53.94468085106383,0.0,124.2843137254902,42.0,2011,2023.0,2026,1,4,0.6468085106382979
33,"BONNEVILLE POWER ADMINISTRATION | AVISTA CORP | BIG BEND ELECTRIC COOP, INC",107,81,0.7570093457943925,26,0.24299065420560748,69,0.6448598130841121,52.19626168224299,0.0,116.35416666666667,50.5,2011,2023.0,2026,2,2,0.6448598130841121
34,"BONNEVILLE POWER ADMINISTRATION | CITY OF TACOMA - (WA) | OHOP MUTUAL LIGHT COMPANY, INC | PENINSULA LIGHT COMPANY",209,151,0.722488038277512,58,0.27751196172248804,134,0.6411483253588517,41.20574162679426,0.0,91.61702127659575,38.0,2011,2023.0,2026,1,3,0.6411483253588517
35,PUD NO 1 OF OKANOGAN COUNTY,168,107,0.6369047619047619,61,0.3630952380952381,107,0.6369047619047619,34.095238095238095,0.0,70.71604938271605,38.0,2011,2023.0,2026,1,13,0.6369047619047619
36,BONNEVILLE POWER ADMINISTRATION | CITY OF TACOMA - (WA) | PUD NO 1 OF LEWIS COUNTY,601,431,0.7171381031613977,170,0.28286189683860236,382,0.6356073211314476,42.86189683860233,0.0,95.76208178438662,42.0,2011,2023.0,2026,1,21,0.6356073211314476
37,BONNEVILLE POWER ADMINISTRATION | PACIFICORP | BENTON RURAL ELECTRIC ASSN,230,170,0.7391304347826086,60,0.2608695652173913,145,0.6304347826086957,55.21304347826087,0.0,117.58333333333333,44.0,2011,2022.0,2026,1,7,0.6304347826086957
38,BONNEVILLE POWER ADMINISTRATION | TOWN OF STEILACOOM | CITY OF TACOMA - (WA) | PENINSULA LIGHT COMPANY,234,180,0.7692307692307693,54,0.23076923076923078,147,0.6282051282051282,49.55982905982906,0.0,112.59223300970874,53.0,2010,2023.0,2026,1,1,0.6282051282051282
39,NO KNOWN ELECTRIC UTILITY SERVICE,361,264,0.7313019390581718,97,0.26869806094182824,225,0.6232686980609419,49.398891966759,0.0,105.52071005917159,53.0,2011,2023.0,2026,11,30,0.6232686980609419
40,PACIFICORP,2446,1740,0.7113654946852003,706,0.28863450531479967,1524,0.6230580539656582,47.47138184791496,0.0,100.4455017301038,42.0,2011,2022.5,2026,4,22,0.6230580539656582
41,BONNEVILLE POWER ADMINISTRATION | PUD NO 1 OF CLALLAM COUNTY,1268,900,0.7097791798107256,368,0.2902208201892745,784,0.6182965299684543,45.28154574132492,0.0,94.59143327841845,42.0,2002,2023.0,2026,1,7,0.6182965299684543
42,BONNEVILLE POWER ADMINISTRATION | PUD NO 1 OF SKAMANIA CO,269,208,0.7732342007434945,61,0.22676579925650558,166,0.6171003717472119,47.57992565055762,0.0,115.30630630630631,42.0,2012,2022.0,2026,1,7,0.6171003717472119
43,BONNEVILLE POWER ADMINISTRATION | CITY OF TACOMA - (WA) | PARKLAND LIGHT & WATER COMPANY | PENINSULA LIGHT COMPANY,187,142,0.7593582887700535,45,0.24064171122994651,115,0.6149732620320856,43.81818181818182,0.0,101.1604938271605,44.0,2011,2023.0,2026,1,1,0.6149732620320856
44,PUGET SOUND ENERGY INC | PUD NO 1 OF WHATCOM COUNTY,6390,4827,0.7553990610328638,1563,0.24460093896713614,3916,0.6128325508607199,45.900469483568074,0.0,100.2406015037594,53.0,2000,2023.0,2026,1,14,0.6128325508607199
45,BONNEVILLE POWER ADMINISTRATION | PUD NO 1 OF BENTON COUNTY,2296,1729,0.7530487804878049,567,0.24695121951219512,1401,0.610191637630662,52.166811846689896,0.0,115.05763688760807,53.0,2011,2022.0,2026,1,10,0.610191637630662
46,BONNEVILLE POWER ADMINISTRATION | PUD NO 1 OF GRAYS HARBOR COUNTY,1026,722,0.7037037037037037,304,0.2962962962962963,625,0.6091617933723197,44.24366471734893,0.0,93.98343685300208,39.0,2011,2023.0,2026,1,18,0.6091617933723197
47,BONNEVILLE POWER ADMINISTRATION | PUD NO 1 OF FRANKLIN COUNTY,1114,874,0.7845601436265709,240,0.21543985637342908,666,0.5978456014362658,56.535906642728904,0.0,127.75050709939148,75.0,2011,2022.0,2026,1,6,0.5978456014362658
48,BONNEVILLE POWER ADMINISTRATION | PUGET SOUND ENERGY INC | PUD NO 1 OF JEFFERSON COUNTY,1414,1043,0.7376237623762376,371,0.2623762376237624,814,0.5756718528995757,49.8048090523338,0.0,100.89398280802293,53.0,2011,2022.0,2026,1,8,0.5756718528995757
49,BONNEVILLE POWER ADMINISTRATION | CITY OF PORT ANGELES - (WA),386,268,0.694300518134715,118,0.30569948186528495,219,0.5673575129533679,46.36787564766839,3.0,92.73575129533678,42.0,2011,2022.5,2026,1,1,0.5673575129533679
50,BONNEVILLE POWER ADMINISTRATION | ORCAS POWER & LIGHT COOP,1275,991,0.7772549019607843,284,0.2227450980392157,633,0.4964705882352941,61.946666666666665,25.0,108.49175824175825,83.5,2000,2021.0,2026,1,13,0.4964705882352941
