Utility Standardized,total_ev_count,bev_count,bev_share,phev_count,phev_share,recent_model_year_count,recent_model_year_share,average_electric_range,median_electric_range,average_positive_electric_range,median_positive_electric_range,min_model_year,median_model_year,max_model_year,county_count,city_count
BONNEVILLE POWER ADMINISTRATION | AVISTA CORP | PUD NO 1 OF ASOTIN COUNTY,110,77,0.7,33,0.3,73,0.6636363636363637,43.49090909090909,0.0,93.80392156862744,42.0,2012,2023.0,2026,1,2
"BONNEVILLE POWER ADMINISTRATION | AVISTA CORP | BIG BEND ELECTRIC COOP, INC",107,81,0.7570093457943925,26,0.24299065420560748,69,0.6448598130841121,52.19626168224299,0.0,116.35416666666667,50.5,2011,2023.0,2026,2,2
PUD NO 1 OF PEND OREILLE COUNTY,102,78,0.7647058823529411,24,0.23529411764705882,71,0.696078431372549,36.049019607843135,0.0,96.76315789473684,38.5,2011,2023.0,2026,1,6
BONNEVILLE POWER ADMINISTRATION | PUD NO 1 OF WAHKIAKUM COUNTY,96,66,0.6875,30,0.3125,47,0.4895833333333333,79.14583333333333,25.0,133.2982456140351,53.0,2013,2021.0,2026,1,5
BONNEVILLE POWER ADMINISTRATION | CITY OF TACOMA - (WA) | BENTON RURAL ELECTRIC ASSN | PENINSULA LIGHT COMPANY,87,66,0.7586206896551724,21,0.2413793103448276,56,0.6436781609195402,36.58620689655172,0.0,99.46875,45.5,2014,2023.0,2026,1,6
CITY OF CHENEY - (WA),83,66,0.7951807228915663,17,0.20481927710843373,56,0.6746987951807228,41.54216867469879,0.0,104.48484848484848,53.0,2012,2023.0,2026,1,1
PUD NO 1 OF WHATCOM COUNTY,74,53,0.7162162162162162,21,0.28378378378378377,44,0.5945945945945946,48.108108108108105,19.0,91.28205128205128,42.0,2011,2023.0,2026,1,3
"BONNEVILLE POWER ADMINISTRATION | BIG BEND ELECTRIC COOP, INC",70,54,0.7714285714285715,16,0.22857142857142856,40,0.5714285714285714,60.457142857142856,0.0,136.51612903225808,53.0,2013,2022.0,2026,1,6
BONNEVILLE POWER ADMINISTRATION | TOWN OF RUSTON - (WA) | CITY OF TACOMA - (WA) | PENINSULA LIGHT COMPANY,60,46,0.7666666666666667,14,0.23333333333333334,45,0.75,47.7,0.0,119.25,42.0,2013,2023.0,2026,1,2
BONNEVILLE POWER ADMINISTRATION | TOWN OF EATONVILLE - (WA) | CITY OF TACOMA - (WA),51,38,0.7450980392156863,13,0.2549019607843137,34,0.6666666666666666,43.529411764705884,0.0,111.0,34.5,2014,2023.0,2026,1,1
BONNEVILLE POWER ADMINISTRATION | PUD NO 1 OF MASON COUNTY | PUD NO 1 OF JEFFERSON COUNTY,36,29,0.8055555555555556,7,0.19444444444444445,28,0.7777777777777778,27.0,0.0,97.2,47.5,2012,2022.5,2026,1,1
BONNEVILLE POWER ADMINISTRATION | CITY OF MCCLEARY - (WA),35,29,0.8285714285714286,6,0.17142857142857143,25,0.7142857142857143,38.51428571428571,0.0,112.33333333333333,53.5,2013,2023.0,2026,1,1
"BONNEVILLE POWER ADMINISTRATION | COLUMBIA RURAL ELEC ASSN, INC",33,27,0.8181818181818182,6,0.18181818181818182,17,0.5151515151515151,56.484848484848484,0.0,143.3846153846154,215.0,2013,2022.0,2026,1,4
BONNEVILLE POWER ADMINISTRATION | PUD NO 1 OF FERRY COUNTY,31,22,0.7096774193548387,9,0.2903225806451613,15,0.4838709677419355,84.12903225806451,25.0,137.26315789473685,151.0,2014,2021.0,2025,2,5
"BONNEVILLE POWER ADMINISTRATION | PACIFICORP | COLUMBIA RURAL ELEC ASSN, INC",30,23,0.7666666666666667,7,0.23333333333333334,23,0.7666666666666667,19.233333333333334,0.0,64.11111111111111,38.0,2013,2023.0,2026,2,4
BONNEVILLE POWER ADMINISTRATION | PUD NO 1 OF KITTITAS COUNTY,29,23,0.7931034482758621,6,0.20689655172413793,20,0.6896551724137931,26.310344827586206,0.0,84.77777777777777,34.0,2013,2023.0,2025,1,3
CITY OF TACOMA - (WA),26,21,0.8076923076923077,5,0.19230769230769232,13,0.5,75.6923076923077,21.0,151.3846153846154,150.0,2014,2021.5,2025,3,6
CITY OF SUMAS - (WA) | PUD NO 1 OF WHATCOM COUNTY,16,13,0.8125,3,0.1875,9,0.5625,25.0,0.0,80.0,38.0,2013,2023.0,2026,1,1
UNKNOWN UTILITY,15,12,0.8,3,0.2,8,0.5333333333333333,63.06666666666667,0.0,135.14285714285714,200.0,2010,2022.0,2025,1,1
CITY OF CHEWELAH,14,9,0.6428571428571429,5,0.35714285714285715,9,0.6428571428571429,10.5,0.0,29.4,25.0,2012,2023.0,2026,1,1
PORTLAND GENERAL ELECTRIC CO,14,9,0.6428571428571429,5,0.35714285714285715,11,0.7857142857142857,28.214285714285715,0.0,65.83333333333333,40.0,2018,2024.0,2026,1,1
BONNEVILLE POWER ADMINISTRATION | CITY OF COULEE DAM - (WA),11,8,0.7272727272727273,3,0.2727272727272727,7,0.6363636363636364,33.54545454545455,0.0,73.8,25.0,2015,2023.0,2024,2,1
"BONNEVILLE POWER ADMINISTRATION | NESPELEM VALLEY ELEC COOP, INC",6,6,1.0,0,0.0,5,0.8333333333333334,25.0,0.0,150.0,150.0,2019,2023.0,2025,1,4
"BONNEVILLE POWER ADMINISTRATION | CITY OF TACOMA - (WA) | ALDER MUTUAL LIGHT CO, INC | PENINSULA LIGHT COMPANY",4,3,0.75,1,0.25,4,1.0,9.75,0.0,39.0,39.0,2023,2024.0,2025,1,1
BONNEVILLE POWER ADMINISTRATION | BENTON RURAL ELECTRIC ASSN,4,1,0.25,3,0.75,2,0.5,23.0,27.0,30.666666666666668,33.0,2013,2022.0,2024,1,3
BONNEVILLE POWER ADMINISTRATION | PENINSULA LIGHT COMPANY,1,1,1.0,0,0.0,1,1.0,0.0,0.0,,,2024,2024.0,2024,1,1
BONNEVILLE POWER ADMINISTRATION | PUD NO 1 OF ASOTIN COUNTY,1,1,1.0,0,0.0,1,1.0,0.0,0.0,,,2022,2022.0,2022,1,1
BONNEVILLE POWER ADMINISTRATION | PUD NO 1 OF CLALLAM COUNTY | PUD NO 1 OF JEFFERSON COUNTY,1,1,1.0,0,0.0,1,1.0,0.0,0.0,,,2026,2026.0,2026,1,1
BONNEVILLE POWER ADMINISTRATION | PUD NO 1 OF JEFFERSON COUNTY,1,1,1.0,0,0.0,1,1.0,0.0,0.0,,,2023,2023.0,2023,1,1
BONNEVILLE POWER ADMINISTRATION | PUD NO 1 OF ASOTIN COUNTY | INLAND POWER & LIGHT COMPANY,1,0,0.0,1,1.0,0,0.0,25.0,25.0,25.0,25.0,2020,2020.0,2020,1,1
CITY OF SEATTLE - (WA),1,0,0.0,1,1.0,1,1.0,37.0,37.0,37.0,37.0,2022,2022.0,2022,1,1
